"tax_id","species_id","parent_tax_id","rank","name"
"1926244",0,"1926243","species","Abacoproeces saltuum"
"106380",1,"102641","species","Abax carinatus"
"106379",2,"102641","species","Abax ovalis"
"102642",3,"102641","species","Abax parallelepipedus"
"555424",4,"102641","species","Abax parallelus"
"1553012",5,"433071","species","Abdera affinis"
"1971261",6,"433071","species","Abdera flexuosa"
"1553013",7,"433071","species","Abdera triguttata"
"665241",8,"672812","species","Abgrallaspis cyanophylli"
"1384715",9,"222785","species","Abia aenea"
"362089",10,"222785","species","Abia candens"
"1141323",11,"222785","species","Abia fasciata"
"410269",12,"222785","species","Abia lonicerae"
"410258",13,"222785","species","Abia sericea"
"308599",14,"308598","species","Abietinaria abietina"
"308600",15,"308598","species","Abietinaria filicula"
"1124591",16,"46216","species","Ablabesmyia longistyla"
"700369",17,"46216","species","Ablabesmyia monilis"
"878967",19,"414959","species","Ablattaria laevigata"
"1920391",25,"1920390","species","Abludomelita obtusata"
"399303",26,"121180","species","Abra alba"
"358434",27,"121180","species","Abra nitida"
"183592",28,"121180","species","Abra prismatica"
"2590760",29,"121180","species","Abra tenuis"
"1586936",31,"154163","species","Abraeus granulum"
"1586937",32,"154163","species","Abraeus parvulus"
"1553014",33,"154163","species","Abraeus perpusillus"
"38527",34,"38526","species","Abramis brama"
"190335",37,"393334","species","Abraxas sylvata"
"938171",38,"254364","species","Abrostola tripartita"
"254365",39,"254364","species","Abrostola triplasia"
"501162",41,"65262","species","Absyrtus vicinator"
"1452646",50,"1452645","species","Acalitus rudis"
"201733",52,"201732","species","Acalles dubius"
"501595",53,"201732","species","Acalles fallax"
"501598",54,"201732","species","Acalles lemur"
"346680",55,"201732","species","Acalles misellus"
"501602",56,"201732","species","Acalles parvulus"
"298154",57,"201732","species","Acalles ptinoides"
"1545065",59,"1400081","species","Acalypta carinata"
"1545066",60,"1400081","species","Acalypta gracilis"
"1545067",61,"1400081","species","Acalypta marginata"
"1545068",62,"1400081","species","Acalypta musci"
"1545069",63,"1400081","species","Acalypta nigrina"
